,towns,lon,lat
526,"Claredon, Vermont",-72.9696779,43.5478671
527,"Claremont, New York",-73.9036487,40.840047
528,"Clarence, New York",-78.5919709,42.9767255
529,"Clarendon, Vermont",-72.9696779,43.5478671
530,"Clark's Town, New York",-73.959494,41.1259715
531,"Clarkestown, New York",-73.959494,41.1259715
532,"Clarks Town, New York",-73.959494,41.1259715
533,"Clarksburg, Massachusetts",-73.092685,42.7170314
534,"Clarksburgh, Massachusetts",-73.092685,42.7170314
535,"Clarkson, New York",-77.927621,43.2331655
536,"Clarkstown, New York",-73.959494,41.1259715
537,"Clarksville, Tennessee",-87.3594528,36.5297706
538,"Clavarack, New York",-73.7351586,42.223403
539,"Claverack, New York",-73.7351586,42.223403
540,"Claverick, New York",-73.7351586,42.223403
541,"Clear Spring, Maryland",-77.9316649,39.6562064
542,"Clear Springs, Maryland",-77.8734028,39.6333411
543,"Clearfield, Pennsylvania",-78.4391876,41.0272796
544,"Clerko Town, New York",-74.003818,40.712938
545,"Clermont, New York",-73.8270746,42.0850903
546,"Clifford, Pennsylvania",-75.5626039,41.685298
547,"Clinton, Maine",-69.5031267,44.637828
548,"Clinton, Massachusetts",-71.6829081,42.4167635
549,"Clinton, New York",-75.3785034,43.0484029
550,"Clinton, Tennessee",-84.1318632,36.1034126
551,"Cllinton, New York",-75.3785034,43.0484029
552,"Cobelskill, New York",-74.4854172,42.677853
553,"Coblekill, New York",-74.4854172,42.677853
554,"Cobleskill, New York",-74.4854172,42.677853
555,"Cobus Kill, New York",-74.0059413,40.7127837
556,"Cocksakie, New York",-73.8029028,42.3509179
557,"Cocsacke, New York",-73.8029028,42.3509179
558,"Coeymans, New York",-73.7923456,42.4739705
559,"Coffee, Illinois",-87.8647961,38.3288218
560,"Cohasset, Massachusetts",-70.8036544,42.2417675
561,"Colbrook, Connecticut",-73.0956765,41.9914071
562,"Colburnton, Massachusetts",-71.3824374,42.4072107
563,"Colchester, Connecticut",-72.3320051,41.5756728
564,"Colchester, New York",-75.077389,42.1603635
565,"Colchester, Vermont",-73.1479068,44.5439375
566,"Cold Water, Tennessee",-83.7379499,35.5856445
567,"Colebrook, Connecticut",-73.0956765,41.9914071
568,"Colerain, Massachusetts",-71.1364054,42.357756
569,"Colerain, North Carolina",-76.7685616,36.201268
570,"Coles Grove, Illinois",-88.0104889,39.2965022
571,"Colesgrove, Illinois",-89.0453384,39.5147369
572,"Colonie, New York",-73.8334554,42.7178558
573,"Colrain, Massachusetts",-72.6967587,42.6731396
574,"Columbia, Arkansas",-93.1779659,33.1285176
575,"Columbia, Connecticut",-72.3011917,41.7020432
576,"Columbia, Illinois",-90.2012239,38.4436637
577,"Columbia, Maine",-67.8039998,44.669418
578,"Columbia, Massachusetts",-71.757887,42.527133
579,"Columbia, Missouri",-92.3340724,38.9517053
580,"Columbia, New York",-73.5594128,42.3678759
581,"Columbia, Tennessee",-87.0352831,35.6150716
582,"Columbus, New York",-75.3726723,42.6839611
583,"Conajoharie, New York",-74.5718073,42.9056288
584,"Conaquenesing, Pennsylvania",-80.0142257,40.8178427
585,"Concord, Maine",-69.84093,45.0950606
586,"Concord, Massachusetts",-71.3489484,42.4603719
587,"Concord, Missouri",-90.360691,38.5106591
588,"Concord, New Hampshire",-71.5375718,43.2081366
589,"Concord, New York",-78.7308615,42.5353392
590,"Concord, Pennsylvania",-77.7002686,40.2517503
591,"Concord, Vermont",-71.8369768,44.4209235
592,"Conhocton, New York",-77.5072102,42.5022907
593,"Connellsville, Pennsylvania",-79.5894828,40.0178522
594,"Connequenessing, Pennsylvania",-80.0142257,40.8178427
595,"Connequnessing, Pennsylvania",-80.0142257,40.8178427
596,"Connesquenessing, Pennsylvania",-80.0142257,40.8178427
597,"Connoquenessing, Pennsylvania",-80.0142257,40.8178427
598,"Conquest, New York",-76.6480028,43.1211773
599,"Constable, New York",-74.2971311,44.9292125
600,"Constantia, New York",-76.0001965,43.2478466
601,"Conway, Massachusetts",-72.6995349,42.5098085
602,"Cooksackie, New York",-73.8029028,42.3509179
603,"Coolbaugh's, Pennsylvania",-75.3878525,41.1823029
604,"Cooper, Maine",-67.4397144,44.959521
605,"Cooper's Fort, Missouri",-95.6089058,29.5989518
606,"Corinna, Maine",-69.2617131,44.921174
607,"Corinna, Massachusetts",-71.3824374,42.4072107
608,"Corinth, Maine",-68.9991802,44.9861321
609,"Corinth, Massachusetts",-71.1297722,42.286178
610,"Corinth, New York",-73.8323446,43.2445168
611,"Corinth, Vermont",-72.2797442,44.0275697
612,"Cornish, Maine",-70.8011731,43.8047977
613,"Cornish, Massachusetts",-71.1596225,42.7212781
614,"Cornville, Maine",-69.6731067,44.8367272
615,"Cornville, Massachusetts",-71.3824374,42.4072107
616,"Cornwall, Connecticut",-73.3292848,41.8437058
617,"Cornwall, New York",-74.0353681,41.4343383
618,"Cornwall, Vermont",-73.2103951,43.960893
619,"Cortlandt Town, New York",-73.9001377,41.2548162
620,"Cortlandt, New York",-73.921884,41.246259
621,"Cote Sans Dessein , Missouri",-92.0077316,38.6148505
622,"Cote Sans Dessein, Missouri",-92.0077316,38.6148505
623,"Courthouse, Illinois",-89.4820381,41.8412347
624,"Coventry, Connecticut",-72.3393021,41.78468
625,"Coventry, New York",-75.6385205,42.3159098
626,"Coventry, Rhode Island",-71.5642076,41.6885978
627,"Coventry, Vermont",-72.2616067,44.867617
628,"Covert, New York",-76.6835596,42.5753492
629,"Covington, Illinois",-89.4359183,38.4547719
630,"Cowford, Florida",-81.655651,30.3321838
631,"Coxackie, New York",-73.8029028,42.3509179
632,"Coxakie, New York",-73.8029028,42.3509179
633,"Coxhall, Massachusetts",-71.3824374,42.4072107
634,"Coxsackie, New York",-73.8029028,42.3509179
635,"Crab Orchard, Illinois",-88.8042303,37.7292162
636,"Craftsbury, Vermont",-72.3726071,44.6367179
637,"Cranston, Rhode Island",-71.4372796,41.7798226
638,"Creager's Town, Maryland",-77.364441,39.577656
639,"Creager's-town, Maryland",-77.364441,39.577656
640,"Creagers Town, Maryland",-77.364441,39.577656
641,"Creagerstown, Maryland",-77.364441,39.577656
642,"Creagertown, Maryland",-77.364441,39.577656
643,"Crooked Creek, Illinois",-88.148657,39.1189104
644,"Cross Roads, Maryland",-76.5766337,39.8195464
645,"Cross Roads, Pennsylvania",-76.5766337,39.8195464
646,"Crown Point, New York",-73.4370667,43.9503352
647,"Crown-Point, New York",-73.4370667,43.9503352
648,"Crownpoint, New York",-78.723147,43.008973
649,"Cumberland, Maine",-70.2585205,43.796573
650,"Cumberland, Maryland",-78.7625185,39.6528654
651,"Cumberland, New York",-78.8492416,39.5838665
652,"Cumberland, Rhode Island",-71.4061876,41.9721816
653,"Cummington, Massachusetts",-72.8913714,42.459188
654,"Current River, Arkansas",-90.8389252,36.2926878
655,"Cushing, Maine",-69.2614502,44.0137798
656,"Cushing, Massachusetts",-72.6438707,42.3199306
657,"Dalton, Massachusetts",-73.1662138,42.4736959
658,"Dana, Massachusetts",-72.2336875,42.4178409
659,"Danbury, Connecticut",-73.4540111,41.394817
660,"Danby, Vermont",-73.0475498,43.3548341
661,"Dandridge, Tennessee",-83.4148895,36.0153693
662,"Dansville, New York",-77.696106,42.5608999
663,"Danvers, Massachusetts",-70.932122,42.5750009
664,"Danville, Maine",-70.2656097,44.0222964
665,"Danville, Massachusetts",-71.124504,42.9125877
666,"Danville, New York",-87.6391047,40.1290907
667,"Danville, Vermont",-72.14009,44.4114954
668,"Danville, Virginia",-79.3950228,36.5859718
669,"Darby, Pennsylvania",-75.2590721,39.9184461
670,"Dardanelle, Arkansas",-93.1579532,35.2231408
671,"Dardenne, Missouri",-90.7562389,38.7658859
672,"Dardenns, Missouri",-90.7562389,38.7658859
673,"Dartmouth, Massachusetts",-70.9704787,41.6130323
674,"Darwin, Illinois",-87.6119696,39.2833716
675,"Davidson, Arkansas",-91.5015009,36.1885994
676,"Davistown, Massachusetts",-71.3824374,42.4072107
677,"De Ruyter, New York",-75.8843616,42.7584005
678,"Dearborn, Maine",-69.21839,45.083469
679,"Dearborn, Massachusetts",-70.987779,42.523649
680,"Dedham, Massachusetts",-71.1676536,42.2436085
681,"Deer Island, Massachusetts",-70.9578261,42.351487
682,"Deer Isle, Maine",-68.6777806,44.2245068
683,"Deer Isle, Massachusetts",-71.3824374,42.4072107
684,"Deer Park, New York",-73.3292857,40.7617653
685,"Deer, Pennsylvania",-80.270428,40.7150942
686,"Deerfield, Massachusetts",-72.6056435,42.5445588
687,"Deerfield, New Hampshire",-71.2164524,43.146194
688,"Deerfield, New York",-75.2187751,43.1195141
689,"Deerpark, New York",-74.663464,41.4591459
690,"DeKalb, New York",-73.9647262,40.6900596
691,"Delaware, Pennsylvania",-75.3878525,39.907793
692,"Delhi, New York",-74.9159946,42.2781401
693,"Dendridge, Tennessee",-83.4148895,36.0153693
694,"Denmark, Maine",-70.8033966,43.9703491
695,"Denmark, Massachusetts",-71.1584333,42.2504655
696,"Denmark, New York",-75.5824117,43.8997909
697,"Denneysville, Maine",-67.2658303,44.9288949
698,"Dennis, Massachusetts",-70.1939429,41.7353062
699,"Dennisville, Massachusetts",-71.3824374,42.4072107
700,"Dennysville, Maine",-67.2658303,44.9288949
701,"Dennysville, Massachusetts",-71.3824374,42.4072107
702,"Derby, Connecticut",-73.0889973,41.3206523
703,"Derby, Vermont",-72.1345069,44.9639953
704,"Dernyter, New York",-75.8843616,42.7584005
705,"Derry, Pennsylvania",-79.2997573,40.3339589
706,"Deruyter, New York",-75.8843616,42.7584005
707,"DeRuyter, New York",-75.8843616,42.7584005
708,"Deweysburgh, Vermont",-72.176369,44.38346
709,"Dexter, Maine",-69.2898156,45.023918
710,"Dexter, Massachusetts",-70.8148769,41.7255041
711,"Diamond Grove, Illinois",-88.209333,41.2621921
712,"Dickenson, New York",-74.564621,44.7483891
713,"Dickinson, New York",-74.564621,44.7483891
714,"Dighton, Massachusetts",-71.1567344,41.843859
715,"Dixfield, Maine",-70.4563367,44.5313932
716,"Dixfield, Massachusetts",-71.793754,42.329934
717,"Dixmont, Maine",-69.1628221,44.6803471
718,"Dixmont, Massachusetts",-71.3824374,42.4072107
719,"Donegal, Pennsylvania",-79.3825351,40.112573
720,"Dorchester, Massachusetts",-71.067605,42.3016305
721,"Dorlach, New York",-74.0059413,40.7127837
722,"Dorlack, New York",-74.0059413,40.7127837
723,"Dorloch, New York",-74.0059413,40.7127837
724,"Dorset, Vermont",-73.0987801,43.2548074
725,"Douglas, Massachusetts",-71.739379,42.0543449
726,"Douglass, Massachusetts",-71.739379,42.0543449
727,"Dover, Maine",-70.8736698,43.1978624
728,"Dover, Massachusetts",-71.2828719,42.2458749
729,"Dover, New Hampshire",-70.8736698,43.1978624
730,"Dover, New York",-73.5829689,41.696244
731,"Dover, Vermont",-72.8025938,42.943669
732,"Dowington, Pennsylvania",-75.7032742,40.0064958
733,"Dracut, Massachusetts",-71.3020052,42.6703687
734,"Dresden, Maine",-69.7242215,44.1070945
735,"Dresden, Massachusetts",-72.5537364,42.1148298
736,"Dryden, New York",-76.2971553,42.4909053
737,"Duanesborough, New York",-74.0059413,40.7127837
738,"Duanesburg, New York",-74.1337383,42.76202
739,"Duanesburgh, New York",-74.1337383,42.76202
740,"Dublin, Maryland",-76.266944,39.650833
741,"Dubois, Illinois",-89.2123011,38.223939
742,"Duck Trap, Massachusetts",-71.3824374,42.4072107
743,"Dudley, Massachusetts",-71.9276033,42.0433661
744,"Dummerston, Vermont",-72.5838146,42.9215017
745,"Dunbarton, New Hampshire",-71.6164615,43.1025818
746,"Duncansboro, Vermont",-72.5778415,44.5588028
747,"Duncansborough, Vermont",-72.5778415,44.5588028
748,"Dunesburgh, New York",-74.1337383,42.76202
749,"Dunstable, Massachusetts",-71.4828433,42.6750898
750,"Durham, Connecticut",-72.6812582,41.4817822
751,"Durham, Maine",-70.1229905,43.972476
752,"Durham, Massachusetts",-71.0343298,42.5480615
753,"Durham, New Hampshire",-70.9264393,43.1339545
754,"Durham, New York",-74.1723608,42.3995257
755,"Durloch, New York",-74.0059413,40.7127837
756,"Dutton, Maine",-70.3358899,43.842106
757,"Duxborough, Massachusetts",-71.2478308,42.0653768
758,"Duxbury, Massachusetts",-70.6722767,42.0417525
759,"Duxbury, Vermont",-72.7526175,44.3270012
760,"Eagle, Illinois",-88.3899689,37.650917
761,"East Andover, Massachusetts",-71.1367953,42.6583356
762,"East Bridgewater, Massachusetts",-70.9592096,42.0334341
763,"East Chester, New York",-74.2712613,41.3625937
764,"East Fork, Illinois",-89.4174641,39.0904594
765,"East Greenwich, Rhode Island",-71.5130445,41.6342619
766,"East Haddam, Connecticut",-72.4757767,41.5034351
767,"East Hampton, New York",-72.1848009,40.9634335
768,"East Hanover, Pennsylvania",-76.5919107,40.3975896
769,"East Hartford, Connecticut",-72.6128339,41.7634219
770,"East Haven, Connecticut",-72.8684565,41.2841687
771,"East Sudbury, Massachusetts",-71.4161725,42.3834278
772,"East Windsor, Connecticut",-72.5578799,41.9161361
773,"East-Chester, New York",-74.2712613,41.3625937
774,"East-Hampton, New York",-72.1848009,40.9634335
775,"Eastampton, New York",-74.0059413,40.7127837
776,"Eastchester, New York",-73.8095574,40.9595605
777,"Eastham, Massachusetts",-69.9740361,41.8299634
778,"Easthampton, Massachusetts",-72.66898,42.266757
779,"Easthampton, New York",-72.1848009,40.9634335
780,"Easthamton, New York",-72.1848009,40.9634335
781,"Easton, Maryland",-76.0763305,38.7742826
782,"Easton, Massachusetts",-71.1286594,42.0245442
783,"Easton, New York",-73.5523378,42.9934104
784,"Easton, Pennsylvania",-75.2207323,40.688432
785,"Eastown, New York",-74.0059413,40.7127837
786,"Eastport, Maine",-66.9899785,44.9061906
787,"Eastport, Massachusetts",-71.1661196,42.40002
788,"Eaton, New York",-75.6118484,42.8497907
789,"Eddington, Maine",-68.6935362,44.8265844
790,"Eddington, Massachusetts",-71.0403668,42.619226
791,"Eden, Maine",-68.3208501,44.4309116
792,"Eden, Massachusetts",-72.582055,42.6598199
793,"Eden, Vermont",-72.5456691,44.7072718
794,"Edenton, North Carolina",-76.6077213,36.057938
795,"Edgarton, Massachusetts",-70.5133599,41.3890052
796,"Edgartown, Massachusetts",-70.5133599,41.3890052
797,"Edgecomb, Maine",-69.630602,43.9584129
798,"Edgecomb, Massachusetts",-71.5741595,41.9951869
799,"Edgecombe, Massachusetts",-71.3824374,42.4072107
800,"Edinburgh, New York",-74.360193,41.470821
801,"Edon, New York",-74.0059413,40.7127837
802,"Edwardsville, Illinois",-89.953157,38.8114364
803,"Egremont, Massachusetts",-73.4415929,42.1777247
804,"Eliot, Maine",-70.8000544,43.1531427
805,"Elizabeth Town, North Carolina",-78.6052899,34.6293372
806,"Elizabeth-Town, New York",-73.5904478,44.2163337
807,"Elizabeth, Missouri",-92.3244988,39.0200138
808,"Elizabeth, Pennsylvania",-79.8897706,40.2692367
809,"Elizabethtown, Kentucky",-85.8649408,37.7030646
810,"Elizabethtown, New York",-73.5904478,44.2163337
811,"Elizabethtown, Pennsylvania",-76.6027455,40.1528719
812,"Elkton, Maryland",-75.8332718,39.6067789
813,"Ellington, Connecticut",-72.458236,41.9172826
814,"Elliot, Maine",-70.8000544,43.1531427
815,"Elliot, Massachusetts",-71.2199582,42.3127099
816,"Ellisburg, New York",-76.1360363,43.7328451
817,"Ellisburgh, New York",-76.1360363,43.7328451
818,"Ellsworth, Maine",-68.4194641,44.5434095
819,"Ellsworth, Massachusetts",-72.2409891,42.5921289
820,"Elmore, Vermont",-72.5187486,44.5274632
821,"Eloise, Illinois",-88.5427095,40.0688189
822,"Embarras, Illinois",-88.09111,39.51722
823,"Embden, Maine",-69.8667243,44.9181137
824,"Embden, Massachusetts",-71.3824374,42.4072107
825,"Emden, Massachusetts",-71.3824374,42.4072107
826,"Emittsburg, Maryland",-77.3269307,39.7045417
827,"Emmitsburg, Maryland",-77.3269307,39.7045417
828,"Emmitsburgh, Maryland",-77.3269307,39.7045417
829,"Emmittsburg, Maryland",-77.3269307,39.7045417
830,"Enfield, Connecticut",-72.5441445,42.0027181
831,"Enfield, Massachusetts",-72.5441445,42.0027181
832,"Enosburg, Vermont",-72.7310458,44.8689592
833,"Enosburgh, Vermont",-72.7310458,44.8689592
834,"Ephrata, Pennsylvania",-76.1788391,40.1798165
835,"Epping, New Hampshire",-71.0735476,43.0534843
836,"Epsom, New Hampshire",-71.3445677,43.2249396
837,"Erie, New York",-78.8661589,42.9023958
838,"Erwin, New York",-77.1255055,42.156626
839,"Esopus, New York",-73.9651379,41.8278707
840,"Essex, Massachusetts",-70.7829315,42.6319582
841,"Essex, New York",-73.3526277,44.3100511
842,"Essex, Vermont",-73.1112433,44.4905054
843,"Etna, Maine",-69.111155,44.8209007
844,"Exeter, Maine",-69.1225343,44.9621841
845,"Exeter, Massachusetts",-70.9477546,42.9814292
846,"Exeter, New Hampshire",-70.9477546,42.9814292
847,"Exeter, New York",-75.0844757,42.7916338
848,"Exeter, Rhode Island",-71.5351476,41.5750676
849,"Fabius, New York",-75.9860322,42.835067
850,"Fabuis, New York",-75.9860322,42.835067
851,"Fair Haven, Vermont",-73.2657155,43.594801
852,"Fairbanks, Florida",-82.2639918,29.7246894
853,"Fairfax, Maine",-68.7970949,44.8032707
854,"Fairfax, Massachusetts",-71.1168,41.89851
855,"Fairfax, Vermont",-73.01032,44.6654963
856,"Fairfield, Connecticut",-73.2612615,41.1408363
857,"Fairfield, Illinois",-88.3597683,38.378937
858,"Fairfield, Maine",-69.5986469,44.5884052
859,"Fairfield, Massachusetts",-73.2383155,41.1598061
860,"Fairfield, New York",-74.9132097,43.1372919
861,"Fairfield, Pennsylvania",-77.3685984,39.7873173
862,"Fairfield, Vermont",-72.9456936,44.8019921
863,"Fairhaven, Massachusetts",-70.9036487,41.6376043
864,"Fairhaven, Vermont",-73.2657155,43.594801
865,"Fairlee, Vermont",-72.1518675,43.9053567
866,"Fall River, Massachusetts",-71.1550451,41.7014912
867,"Falmouth, Maine",-70.2601759,43.7435343
868,"Falmouth, Massachusetts",-70.6085886,41.5532208
869,"Fannetsburg, Pennsylvania",-77.8294399,40.0650872
870,"Farmington, Connecticut",-72.795027,41.7360305
871,"Farmington, Maine",-70.1512169,44.6704998
872,"Farmington, Massachusetts",-72.9041236,41.7127274
873,"Farmington, New Hampshire",-71.065062,43.3897609
874,"Farmington, New York",-77.3259508,42.9864223
875,"Farnworths, Tennessee",-86.5804473,35.5174913
876,"Fayette, Maine",-70.0336654,44.4089558
877,"Fayette, Massachusetts",-71.02561,42.269
878,"Fayette, New York",-76.8091216,42.8142352
879,"Fayette, Pennsylvania",-79.6502105,39.9272324
880,"Fayette/Noblesburgh, Pennsylvania",-77.1945247,41.2033216
881,"Fayetteville, North Carolina",-78.8783585,35.0526641
882,"Fayetteville, Tennessee",-86.5705508,35.1520266
883,"Fayston, Vermont",-72.8756638,44.2074374
884,"Femme Osage, Missouri",-90.9418059,38.6367183
885,"Fernandina, Florida",-81.6879368,30.4940713
886,"Ferrisburg, Vermont",-73.2478255,44.1782847
887,"Ferrisburgh, Vermont",-73.2462341,44.2056098
888,"Fishing River, Missouri",-94.1964718,39.2635329
889,"Fishkill, New York",-73.8990252,41.5356492
890,"Fitchburg, Massachusetts",-71.8022955,42.5834228
891,"Flat Lands, New York",-73.9330429,40.6268432
892,"Flat-Lands, New York",-73.9330429,40.6268432
893,"Flatbush, New York",-73.9624327,40.6409217
894,"Flatland, New York",-73.8624763,40.6611019
895,"Flatlands, New York",-73.9330429,40.6268432
896,"Fleming, New York",-76.5741088,42.8617349
897,"Fletcher, Vermont",-72.9238412,44.6752213
898,"Florence, New York",-75.7493533,43.4384032
899,"Florida, Massachusetts",-73.0112117,42.66675
900,"Florida, New York",-74.35682,41.3317606
901,"Florissant, Missouri",-90.322614,38.789217
902,"Floyd, New York",-75.3343366,43.2197918
903,"Flushing, New York",-73.833079,40.7674987
904,"Fork Prairie, Illinois",-89.4615835,39.4481288
905,"Forks of Beaver, Pennsylvania",-75.2754871,40.7012649
906,"Forks, North Carolina",-78.3447256,34.1987803
907,"Fort Roberts, Missouri",-92.200604,37.8270399
908,"Foster, Rhode Island",-71.7581249,41.8537098
909,"Fowler, New York",-75.3863214,44.2786725
910,"Fox River, Illinois",-88.499783,42.2322219
911,"Foxborough, Massachusetts",-71.2478308,42.0653768
912,"Foxcroft, Maine",-67.8085481,46.1445491
913,"Foxcroft, Massachusetts",-71.153085,42.450107
914,"Framingham, Massachusetts",-71.4161565,42.279286
915,"Francisboro, Massachusetts",-71.3824374,42.4072107
916,"Frankford, New York",-74.7454112,41.1662778
917,"Frankfort, Kentucky",-84.8732835,38.2009055
918,"Frankfort, Maine",-68.8744635,44.6086733
919,"Frankfort, Massachusetts",-75.053559,43.015939
920,"Frankfort, New York",-75.070436,43.038959
921,"Frankfurt, Kentucky",-84.8732835,38.2009055
922,"Frankfurt, Maine",-68.8744635,44.6086733
923,"Frankfurt, Massachusetts",-75.053559,43.015939
924,"Franklin, Connecticut",-72.1459975,41.6090041
925,"Franklin, Illinois",-90.0440001,39.6203259
926,"Franklin, Massachusetts",-71.396725,42.0834313
927,"Franklin, Missouri",-92.7532411,39.0116954
928,"Franklin, New York",-75.1651689,42.3406373
929,"Franklin, Pennsylvania",-79.8314437,41.3978358
930,"Franklin, Tennessee",-86.8688899,35.9250637
931,"Franklin, Vermont",-72.9165547,44.9812585
932,"Frankstown, Pennsylvania",-78.3547351,40.4439613
933,"Frederick Town, Maryland",-77.4105409,39.4142688
934,"Frederick Town, New York",-74.1339208,40.6143687
935,"Frederick-town, Maryland",-77.4105409,39.4142688
936,"Frederick, Maryland",-77.4105409,39.4142688
937,"Frederick, New York",-74.1339208,40.6143687
938,"Fredericks, New York",-76.029991,42.181749
939,"Fredericksburgh, New York",-76.866667,44.216667
940,"Frederickstown, Maryland",-75.88269,39.365658
941,"Frederickstown, New York",-74.0059413,40.7127837
942,"Fredericktown, Maryland",-75.88269,39.365658
943,"Fredericktown, New York",-74.0059413,40.7127837
944,"Freedom, Maine",-69.2967536,44.5298272
945,"Freedom, Massachusetts",-80.28603,40.7004444
946,"Freedom, New York",-78.3311262,42.4847852
947,"Freehold, New York",-74.0498564,42.3592503
948,"Freeman, Maine",-70.4599099,44.0003676
949,"Freeman, Massachusetts",-71.3008726,42.2919087
950,"Freeport, Maine",-70.1031201,43.8570065
951,"Freeport, Massachusetts",-71.0505921,42.30143
952,"Freetown, Massachusetts",-71.014118,41.7619708
953,"Friendship, Maine",-69.3341229,43.9838019
954,"Friendship, Massachusetts",-70.10942,41.266448
955,"Fryburgh, Massachusetts",-71.1480915,42.4934377
956,"Fryeburg Academy's grounds, Maine",-69.4454689,45.253783
957,"Fryeburg, Maine",-70.9806357,44.0164329
958,"Fryeburgh, Maine",-70.9806357,44.0164329
959,"Fryeburgh, Massachusetts",-71.1480915,42.4934377
960,"Galen, New York",-76.8720961,43.0715742
961,"Gallatin, Missouri",-93.9621669,39.9144513
962,"Gallatin, New York",-73.7242486,42.0650965
963,"Galloway, New Jersey",-74.5596879,39.4928235
964,"Galloway, New York",-74.4631937,39.4645948
965,"Gallway, New York",-74.0315162,43.0186858
966,"Galoway, New York",-74.464858,39.5402224
967,"Galway, New York",-74.0315162,43.0186858
968,"Gardiner, Maine",-69.7753222,44.2300698
969,"Gardiner, Massachusetts",-71.998133,42.5750883
970,"Gardner, Massachusetts",-71.998133,42.5750883
971,"Garland, Maine",-69.1603205,45.0383951
972,"Garland, Massachusetts",-71.037581,42.4091238
973,"Gates, New York",-77.6965819,43.1501288
974,"Gehr's, Pennsylvania",-77.1945247,41.2033216
975,"Genesco, New York",-77.816947,42.795896
976,"Genesee, New York",-78.1564432,42.9837843
977,"Geneseo, New York",-77.816947,42.795896
978,"Genesoe, New York",-77.816947,42.795896
979,"Genoa, New York",-76.5357741,42.6678489
980,"Geogetown, Maine",-69.752359,43.8021196
981,"George Town, Pennsylvania",-80.4978449,40.6414539
982,"George, Pennsylvania",-79.6704088,41.621958
983,"Georgetown, Maine",-69.752359,43.8021196
984,"Georgetown, Massachusetts",-70.9911659,42.7250918
985,"Georgetown, Pennsylvania",-80.4978449,40.6414539
986,"Georgetown, South Carolina",-79.2944964,33.376834
987,"Georgia, Vermont",-73.1301205,44.7392004
988,"Ger. Flatts, New York",-74.0059413,40.7127837
989,"German Flats, New York",-75.0001902,43.0133507
990,"German Flatts, New York",-74.9793243,42.9777988
991,"German Town, New York",-73.976301,40.7512904
992,"German-Flatts, New York",-74.9793243,42.9777988
993,"German, Missouri",-92.0849293,37.3273334
994,"German, New York",-75.8301537,42.5045167
995,"Germanflatts, New York",-74.9793243,42.9777988
996,"Germantown, New York",-73.8917982,42.1345339
997,"Germantown, Pennsylvania",-75.1749671,40.028521
998,"Gerry, Maine",-68.8183692,45.0170108
999,"Gerry, Massachusetts",-71.0322467,42.5255149
1000,"Gibson, Pennsylvania",-75.6440751,41.803413
1001,"Gilead, Maine",-70.9727112,44.3940915
1002,"Gilead, Massachusetts",-73.124997,42.624951
1003,"Giliad, Maine",-70.9727112,44.3940915
1004,"Gill, Massachusetts",-72.4996367,42.6408105
1005,"Gilmanton, New Hampshire",-71.4138418,43.4248816
1006,"Glastenbury, Connecticut",-72.5450779,41.6861794
1007,"Glenville, New York",-74.0520717,42.9292419
1008,"Glocester, Rhode Island",-71.691066,41.9043113
1009,"Gloucester, Massachusetts",-70.6619888,42.6159285
1010,"Gloucester, New Jersey",-75.0494329,39.7933809
1011,"Gloucester, Rhode Island",-71.691066,41.9043113
1012,"Glover, Vermont",-72.1869766,44.7069038
1013,"Gognia, Illinois",-89.3985283,40.6331249
1014,"Golconda, Illinois",-88.4864316,37.3672744
1015,"Goldboro, Massachusetts",-77.1296707,38.9700829
1016,"Goldsboro, Massachusetts",-77.1296707,38.9700829
1017,"Goldsborough, Maine",-69.4454689,45.253783
1018,"Gorham, Maine",-70.4442252,43.6795314
1019,"Gorham, Massachusetts",-71.3053878,42.6213748
1020,"Goshen, Connecticut",-73.2248946,41.8315187
1021,"Goshen, Illinois",-89.9440061,41.09985
1022,"Goshen, Maryland",-77.187482,39.2034396
1023,"Goshen, Massachusetts",-72.7993986,42.4407187
1024,"Goshen, New York",-74.3243191,41.4020382
1025,"Goshen, Vermont",-72.9977534,43.8601051
1026,"Gouldsboro, Massachusetts",-71.3824374,42.4072107
1027,"Gouldsborough, Maine",-68.039543,44.47852
1028,"Gouldsborough, Massachusetts",-71.3824374,42.4072107
1029,"Gouverneur, New York",-75.462993,44.3367281
1030,"Grafton, Massachusetts",-71.6856236,42.2070391
1031,"Grafton, New York",-73.4509464,42.768967
1032,"Grafton, Vermont",-72.6064633,43.1716817
1033,"Granby, Connecticut",-72.7887705,41.9540614
1034,"Granby, Massachusetts",-72.5168859,42.2570866
1035,"Granby, Vermont",-71.758702,44.5706106
1036,"Grand Isle, Vermont",-73.2923538,44.7225436
1037,"Grand River, Missouri",-94.356513,38.6140477
1038,"Grande Isle, Vermont",-73.2923538,44.7225436
1039,"Grandville, New York",-73.259553,43.4078495
1040,"Granger, New York",-77.9967043,42.4851233
1041,"Granville, Massachusetts",-72.9224329,42.0996545
1042,"Granville, New York",-73.259553,43.4078495
1043,"Graves End, New York",-73.977126,40.5910166
1044,"Gravesend, New York",-73.977126,40.5910166
1045,"Gray, Maine",-70.3317195,43.885632
1046,"Gray, Massachusetts",-71.1685166,42.4150804
1047,"Great Barrington, Massachusetts",-73.362008,42.1959798
1048,"Great Bend, Pennsylvania",-75.7432423,41.9717446
1049,"Great Valley, New York",-78.636417,42.2145087
1050,"Greece, New York",-77.6930602,43.2097837
1051,"Green, Massachusetts",-71.1075497,42.3103375
1052,"Green, New York",-82.3862824,39.5460028
